,age,selling_price,km_driven,owner,name,fuel,seller_type,transmission
0,16.0,600.0,70000.0,1.0,Maruti,Petrol,Individual,Manual
1,16.0,1350.0,50000.0,1.0,Maruti,Petrol,Individual,Manual
2,11.0,6000.0,100000.0,1.0,Hyundai,Diesel,Individual,Manual
3,6.0,2500.0,46000.0,1.0,Datsun,Petrol,Individual,Manual
4,9.0,4500.0,141000.0,2.0,Honda,Diesel,Individual,Manual
5,16.0,1400.0,125000.0,1.0,Maruti,Petrol,Individual,Manual
6,7.0,5500.0,25000.0,1.0,Hyundai,Petrol,Individual,Manual
7,9.0,2400.0,60000.0,2.0,Tata,Petrol,Individual,Manual
8,8.0,8500.0,25000.0,1.0,Hyundai,Petrol,Individual,Manual
9,6.0,3650.0,78000.0,1.0,Maruti,CNG,Individual,Manual
10,8.0,2600.0,35000.0,1.0,Chevrolet,Petrol,Individual,Manual
11,9.0,2500.0,100000.0,1.0,Tata,Petrol,Individual,Manual
13,8.0,5850.0,24000.0,1.0,Maruti,Petrol,Dealer,Manual
14,4.0,11950.0,5000.0,1.0,Hyundai,Diesel,Dealer,Manual
15,10.0,3900.0,33000.0,2.0,Chevrolet,Diesel,Individual,Manual
18,5.0,9750.0,4500.0,1.0,Maruti,Diesel,Dealer,Automatic
20,5.0,9300.0,14500.0,1.0,Honda,Petrol,Dealer,Manual
21,5.0,5250.0,15000.0,1.0,Tata,Petrol,Individual,Manual
24,12.0,4500.0,130400.0,2.0,Skoda,Diesel,Dealer,Automatic
25,7.0,9000.0,50000.0,1.0,Toyota,Petrol,Individual,Automatic
26,8.0,13000.0,80000.0,1.0,Toyota,Diesel,Individual,Manual
28,13.0,8500.0,119000.0,1.0,Mercedes-Benz,Petrol,Dealer,Automatic
31,14.0,12500.0,78000.0,3.0,Audi,Diesel,Dealer,Automatic
32,11.0,6250.0,40000.0,1.0,Hyundai,Diesel,Individual,Manual
33,9.0,10500.0,50000.0,1.0,Mahindra,Diesel,Individual,Manual
34,9.0,5600.0,74000.0,2.0,Honda,Diesel,Individual,Manual
35,9.0,2900.0,64000.0,2.0,Maruti,Petrol,Individual,Manual
36,11.0,2750.0,60000.0,2.0,Maruti,Petrol,Individual,Manual
37,14.0,4110.0,120000.0,2.0,Mahindra,Diesel,Individual,Manual
38,14.0,1500.0,79000.0,3.0,Hyundai,Petrol,Individual,Manual
39,4.0,5000.0,15000.0,1.0,Hyundai,Petrol,Individual,Manual
40,17.0,1000.0,80000.0,1.0,Maruti,Petrol,Individual,Manual
41,6.0,7250.0,18500.0,1.0,Maruti,Diesel,Dealer,Manual
42,5.0,4010.0,10200.0,1.0,Maruti,Petrol,Dealer,Manual
43,5.0,7500.0,29000.0,1.0,Hyundai,Diesel,Dealer,Manual
44,5.0,3100.0,28000.0,1.0,Maruti,Petrol,Dealer,Manual
45,7.0,6650.0,46000.0,1.0,Maruti,Diesel,Dealer,Manual
46,9.0,4650.0,70000.0,1.0,Hyundai,Diesel,Dealer,Manual
47,11.0,1600.0,60000.0,2.0,Maruti,Petrol,Individual,Manual
49,9.0,6750.0,90000.0,1.0,Honda,Diesel,Dealer,Manual
50,10.0,3000.0,80000.0,1.0,Maruti,Petrol,Dealer,Manual
51,18.0,700.0,80000.0,1.0,Tata,Diesel,Individual,Manual
52,9.0,2400.0,73300.0,2.0,Hyundai,Petrol,Dealer,Manual
53,9.0,5250.0,92000.0,1.0,Toyota,Diesel,Dealer,Manual
54,14.0,1510.0,66764.0,2.0,Maruti,Petrol,Dealer,Manual
55,14.0,1400.0,100000.0,1.0,Maruti,Petrol,Individual,Manual
58,6.0,5700.0,60000.0,1.0,Mahindra,Diesel,Individual,Manual
59,5.0,3000.0,31000.0,1.0,Hyundai,Petrol,Individual,Manual
60,16.0,1000.0,39000.0,1.0,Tata,Diesel,Individual,Manual
61,14.0,5000.0,120000.0,3.0,Toyota,Diesel,Individual,Manual
63,17.0,1300.0,110000.0,3.0,Maruti,Petrol,Individual,Manual
64,6.0,9250.0,35000.0,1.0,Ford,Diesel,Individual,Manual
65,5.0,7500.0,60000.0,1.0,Maruti,Diesel,Individual,Manual
66,16.0,2000.0,54000.0,2.0,Honda,Petrol,Individual,Automatic
67,13.0,2480.0,63000.0,2.0,Hyundai,Petrol,Individual,Manual
68,9.0,4500.0,120000.0,2.0,Skoda,Diesel,Individual,Manual
69,18.0,800.0,120000.0,3.0,Hyundai,Petrol,Individual,Manual
70,9.0,6500.0,76000.0,2.0,Nissan,Petrol,Individual,Manual
71,8.0,4500.0,80000.0,1.0,Hyundai,Diesel,Individual,Manual
72,4.0,6500.0,25000.0,1.0,Hyundai,Diesel,Individual,Manual
73,7.0,4950.0,11958.0,1.0,Honda,Petrol,Dealer,Manual
74,8.0,3710.0,20000.0,1.0,Honda,Petrol,Dealer,Manual
75,6.0,10250.0,9000.0,1.0,Hyundai,Petrol,Dealer,Manual
77,8.0,7500.0,70000.0,1.0,Mahindra,Diesel,Individual,Manual
78,10.0,6000.0,120000.0,1.0,Renault,Diesel,Individual,Manual
79,16.0,800.0,58000.0,2.0,Hyundai,Petrol,Dealer,Manual
80,10.0,3250.0,62200.0,1.0,Mahindra,Diesel,Dealer,Manual
82,8.0,3500.0,53000.0,2.0,Fiat,Diesel,Individual,Manual
84,6.0,2100.0,15000.0,2.0,Datsun,Petrol,Dealer,Manual
85,10.0,4500.0,50000.0,1.0,Volkswagen,Petrol,Individual,Manual
86,10.0,11500.0,53000.0,1.0,Audi,Diesel,Dealer,Automatic
87,14.0,2100.0,63500.0,1.0,Honda,Petrol,Dealer,Automatic
91,15.0,1750.0,29173.0,1.0,Maruti,Petrol,Dealer,Manual
93,6.0,6280.0,120000.0,1.0,Mahindra,Diesel,Individual,Manual
94,13.0,6000.0,100000.0,1.0,Hyundai,Diesel,Individual,Manual
95,6.0,3990.0,30000.0,1.0,Nissan,Petrol,Individual,Manual
96,5.0,7500.0,87000.0,1.0,Mahindra,Diesel,Individual,Manual
97,4.0,7500.0,15000.0,1.0,Hyundai,Petrol,Individual,Manual
98,6.0,3150.0,16000.0,1.0,Renault,Petrol,Individual,Manual
99,11.0,6000.0,60000.0,1.0,Mahindra,Diesel,Individual,Manual
101,12.0,2500.0,110000.0,3.0,Maruti,Petrol,Individual,Manual
102,6.0,3500.0,25000.0,1.0,Renault,Petrol,Individual,Manual
103,7.0,7800.0,60000.0,1.0,Hyundai,Diesel,Individual,Manual
104,9.0,4340.0,79350.0,2.0,Maruti,Diesel,Individual,Manual
105,7.0,6900.0,80000.0,1.0,Hyundai,Petrol,Individual,Automatic
106,9.0,5550.0,90000.0,2.0,Mahindra,Diesel,Individual,Manual
107,16.0,1200.0,90000.0,2.0,Maruti,Petrol,Individual,Manual
108,9.0,5000.0,120000.0,2.0,Maruti,Diesel,Individual,Manual
109,10.0,1650.0,60000.0,2.0,Chevrolet,Diesel,Individual,Manual
110,19.0,950.0,50000.0,1.0,Maruti,Petrol,Individual,Manual
111,5.0,5500.0,20000.0,1.0,Maruti,Petrol,Individual,Manual
113,11.0,1000.0,50000.0,2.0,Tata,Petrol,Individual,Manual
114,11.0,5000.0,100000.0,1.0,Toyota,Diesel,Individual,Manual
115,7.0,8000.0,70000.0,2.0,Maruti,Diesel,Individual,Manual
116,7.0,8400.0,70000.0,2.0,Hyundai,Diesel,Individual,Manual
117,7.0,4900.0,50000.0,1.0,Honda,Petrol,Individual,Manual
118,13.0,1250.0,81000.0,2.0,Tata,Diesel,Individual,Manual
119,11.0,4000.0,120000.0,3.0,Chevrolet,Diesel,Individual,Manual
120,8.0,10000.0,3600.0,1.0,Chevrolet,Diesel,Dealer,Manual
121,8.0,5300.0,14272.0,1.0,Ford,Petrol,Dealer,Manual
122,6.0,8400.0,49213.0,1.0,Ford,Diesel,Dealer,Manual
123,8.0,2299.0,40000.0,1.0,Hyundai,Petrol,Individual,Manual
125,11.0,1300.0,80000.0,1.0,Chevrolet,Petrol,Individual,Manual
126,8.0,2000.0,70000.0,1.0,Hyundai,Petrol,Individual,Manual
127,12.0,1200.0,70000.0,1.0,Tata,Diesel,Individual,Manual
128,20.0,750.0,57000.0,1.0,Hyundai,Petrol,Individual,Manual
129,7.0,2500.0,120000.0,1.0,Tata,Diesel,Individual,Manual
130,18.0,1000.0,30000.0,1.0,Maruti,Petrol,Individual,Manual
131,10.0,2800.0,3240.0,2.0,Hyundai,Petrol,Individual,Manual
132,8.0,5400.0,5000.0,1.0,Hyundai,Petrol,Individual,Manual
133,5.0,7000.0,10000.0,1.0,Hyundai,Petrol,Individual,Manual
134,8.0,5250.0,100000.0,1.0,Maruti,Diesel,Individual,Manual
135,7.0,4300.0,80000.0,1.0,Hyundai,Diesel,Individual,Manual
137,5.0,8000.0,35000.0,1.0,Maruti,Diesel,Individual,Manual
138,16.0,750.0,114000.0,2.0,Hyundai,Petrol,Individual,Manual
139,15.0,2100.0,53772.0,1.0,Hyundai,Petrol,Individual,Manual
140,11.0,1950.0,140000.0,2.0,Mahindra,Diesel,Individual,Manual
141,8.0,4000.0,120000.0,1.0,Chevrolet,Diesel,Individual,Manual
142,11.0,1700.0,60000.0,1.0,Hyundai,Petrol,Individual,Manual
143,7.0,2250.0,25000.0,1.0,Renault,Petrol,Individual,Manual
144,9.0,2100.0,90000.0,1.0,Maruti,LPG,Individual,Manual
145,3.0,2400.0,120000.0,1.0,Maruti,Petrol,Individual,Manual
147,12.0,990.0,100000.0,3.0,Chevrolet,Petrol,Individual,Manual
148,9.0,6200.0,36000.0,1.0,Honda,Petrol,Individual,Manual
149,10.0,5000.0,30000.0,1.0,Honda,Diesel,Individual,Manual
151,10.0,2600.0,70000.0,2.0,Honda,Petrol,Individual,Manual
152,6.0,5500.0,60000.0,1.0,Maruti,Petrol,Individual,Manual
153,12.0,1500.0,155500.0,1.0,Tata,Diesel,Individual,Manual
154,12.0,3500.0,50000.0,2.0,Hyundai,Petrol,Individual,Automatic
155,7.0,3200.0,40000.0,1.0,Chevrolet,Petrol,Individual,Manual
156,8.0,4000.0,100000.0,3.0,Maruti,Diesel,Individual,Manual
157,11.0,1750.0,80000.0,3.0,Maruti,Petrol,Individual,Manual
158,12.0,1200.0,90000.0,2.0,Chevrolet,Petrol,Individual,Manual
159,10.0,3200.0,90000.0,2.0,Renault,Diesel,Individual,Manual
160,17.0,700.0,110000.0,3.0,Hyundai,Petrol,Individual,Manual
161,4.0,8100.0,15000.0,1.0,Maruti,Petrol,Individual,Manual
162,16.0,950.0,100000.0,2.0,Maruti,Petrol,Individual,Manual
163,3.0,2820.0,40000.0,1.0,Maruti,CNG,Individual,Manual
164,19.0,800.0,60000.0,2.0,Maruti,Petrol,Individual,Manual
165,10.0,720.0,25000.0,1.0,Tata,Petrol,Individual,Manual
166,7.0,6000.0,25000.0,1.0,Hyundai,Petrol,Individual,Manual
167,8.0,6400.0,23000.0,1.0,Skoda,Petrol,Individual,Manual
168,5.0,3800.0,22155.0,1.0,Maruti,Petrol,Individual,Manual
169,5.0,6500.0,70000.0,1.0,Maruti,Petrol,Individual,Manual
170,14.0,1500.0,60000.0,2.0,Maruti,Petrol,Individual,Manual
171,14.0,2800.0,110000.0,2.0,Hyundai,Petrol,Individual,Manual
172,5.0,4300.0,30000.0,1.0,Tata,Petrol,Individual,Manual
173,4.0,8000.0,15000.0,1.0,Mahindra,Diesel,Individual,Manual
174,20.0,750.0,100000.0,2.0,Maruti,Diesel,Individual,Manual
175,7.0,6500.0,70000.0,1.0,Volkswagen,Diesel,Individual,Automatic
176,6.0,3900.0,24000.0,1.0,Maruti,Petrol,Individual,Manual
177,18.0,1000.0,120000.0,2.0,Honda,Petrol,Individual,Manual
179,16.0,1750.0,78380.0,1.0,Maruti,Petrol,Individual,Manual
180,11.0,4349.0,110000.0,2.0,Renault,Diesel,Individual,Manual
181,13.0,1700.0,90000.0,3.0,Ford,Diesel,Individual,Manual
182,12.0,1900.0,90000.0,3.0,Ford,Diesel,Individual,Manual
183,14.0,2500.0,150000.0,3.0,Maruti,Diesel,Individual,Manual
185,17.0,1400.0,70000.0,3.0,Maruti,Petrol,Individual,Manual
186,6.0,6000.0,80362.0,1.0,Maruti,Diesel,Individual,Manual
187,11.0,2800.0,110000.0,3.0,Hyundai,Petrol,Individual,Manual
188,11.0,1500.0,60000.0,1.0,Chevrolet,Diesel,Individual,Manual
189,8.0,6500.0,50000.0,1.0,Chevrolet,Diesel,Individual,Automatic
190,9.0,2100.0,40000.0,2.0,Nissan,Petrol,Individual,Manual
192,10.0,4250.0,20000.0,1.0,Chevrolet,Diesel,Dealer,Manual
193,9.0,2650.0,55000.0,1.0,Hyundai,Petrol,Dealer,Manual
194,5.0,8900.0,1136.0,1.0,Fiat,Petrol,Dealer,Manual
195,10.0,3650.0,55000.0,1.0,Renault,Petrol,Dealer,Manual
196,9.0,3500.0,43000.0,1.0,Ford,Petrol,Dealer,Manual
197,7.0,6850.0,60000.0,1.0,Maruti,Diesel,Individual,Manual
198,5.0,9400.0,2650.0,1.0,Skoda,Diesel,Dealer,Manual
199,6.0,10000.0,40000.0,1.0,Mahindra,Diesel,Individual,Manual
200,4.0,11500.0,15000.0,1.0,Mahindra,Petrol,Dealer,Manual
201,7.0,4500.0,115962.0,2.0,Maruti,Diesel,Individual,Manual
202,8.0,5900.0,65000.0,1.0,Nissan,Diesel,Dealer,Manual
203,6.0,8000.0,40000.0,1.0,Maruti,Diesel,Individual,Manual
204,11.0,3850.0,58000.0,1.0,Hyundai,Diesel,Dealer,Manual
206,11.0,2350.0,54000.0,1.0,Hyundai,Petrol,Dealer,Manual
207,6.0,6400.0,56000.0,1.0,Volkswagen,Diesel,Dealer,Manual
208,17.0,520.0,120000.0,3.0,Maruti,Petrol,Individual,Manual
209,14.0,800.0,90000.0,2.0,Maruti,LPG,Individual,Manual
210,11.0,1400.0,70000.0,2.0,Maruti,Petrol,Individual,Manual
211,15.0,1200.0,90000.0,2.0,Hyundai,Petrol,Individual,Manual
213,11.0,1800.0,120000.0,1.0,Chevrolet,Diesel,Individual,Manual
215,6.0,7000.0,10000.0,1.0,Hyundai,Petrol,Individual,Manual
216,11.0,2850.0,80000.0,2.0,Maruti,Diesel,Individual,Manual
217,8.0,3900.0,90000.0,1.0,Hyundai,Petrol,Individual,Manual
218,15.0,1250.0,80000.0,1.0,Maruti,Petrol,Individual,Manual
219,15.0,2250.0,60000.0,2.0,Maruti,Petrol,Individual,Manual
220,12.0,1750.0,139000.0,2.0,Hyundai,Petrol,Individual,Manual
221,12.0,10750.0,160000.0,2.0,Toyota,Diesel,Individual,Manual
222,9.0,3000.0,150000.0,1.0,Honda,Diesel,Individual,Manual
224,14.0,900.0,120000.0,1.0,Tata,Diesel,Dealer,Manual
225,12.0,1200.0,120000.0,2.0,Tata,Diesel,Individual,Manual
226,11.0,2200.0,100000.0,2.0,Chevrolet,Diesel,Individual,Manual
227,8.0,3000.0,140000.0,1.0,Tata,Diesel,Dealer,Manual
228,13.0,1800.0,87000.0,2.0,Skoda,Diesel,Dealer,Manual
229,10.0,1700.0,70000.0,1.0,Maruti,Petrol,Individual,Manual
230,8.0,3000.0,50000.0,2.0,Ford,Petrol,Individual,Manual
231,9.0,10500.0,70000.0,1.0,Toyota,Diesel,Individual,Manual
232,5.0,4650.0,25000.0,1.0,Hyundai,Diesel,Individual,Manual
233,12.0,1300.0,80000.0,2.0,Chevrolet,Diesel,Individual,Manual
234,5.0,4349.0,10000.0,1.0,Datsun,Petrol,Individual,Manual
235,5.0,5000.0,32000.0,1.0,Hyundai,Petrol,Individual,Manual
236,5.0,2000.0,10000.0,1.0,Maruti,Petrol,Individual,Manual
237,6.0,6250.0,52000.0,1.0,Maruti,Petrol,Dealer,Manual
238,17.0,1100.0,120000.0,3.0,Ford,Diesel,Individual,Manual
239,4.0,8000.0,11240.0,1.0,Hyundai,Petrol,Individual,Manual
240,6.0,4900.0,66000.0,1.0,Hyundai,Diesel,Dealer,Manual
241,6.0,8800.0,64000.0,1.0,Maruti,Diesel,Dealer,Manual
242,10.0,2900.0,49000.0,1.0,Hyundai,Petrol,Individual,Manual
243,17.0,1159.0,100000.0,2.0,Tata,Diesel,Individual,Manual
244,5.0,3600.0,26500.0,1.0,Renault,Petrol,Individual,Manual
246,6.0,6850.0,72000.0,1.0,Maruti,Diesel,Dealer,Manual
247,14.0,3000.0,50000.0,1.0,Honda,Petrol,Individual,Manual
248,6.0,6800.0,44000.0,1.0,Hyundai,Diesel,Dealer,Manual
249,6.0,10000.0,60000.0,2.0,Maruti,Diesel,Individual,Manual
251,13.0,1600.0,130000.0,1.0,Mahindra,Diesel,Individual,Manual
252,6.0,4500.0,70000.0,1.0,Maruti,Diesel,Individual,Manual
253,9.0,6000.0,20000.0,1.0,Maruti,Petrol,Individual,Manual
254,14.0,1800.0,60000.0,2.0,Hyundai,Diesel,Individual,Manual
256,13.0,1200.0,90000.0,2.0,Maruti,Petrol,Individual,Manual
257,17.0,1300.0,80000.0,3.0,Hyundai,Petrol,Individual,Manual
258,12.0,1600.0,155000.0,1.0,Maruti,Petrol,Individual,Manual
259,4.0,8600.0,35000.0,1.0,Mahindra,Diesel,Individual,Manual
260,5.0,6500.0,20000.0,2.0,Hyundai,Petrol,Individual,Manual
261,13.0,1000.0,80000.0,2.0,Maruti,Petrol,Individual,Manual
